SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBEß,MMR1
6026249,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,MARINA,IONE OLSON ELEMENTARY,63,1,2,59
6026256,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,MARINA,J. C. CRUMPTON ELEMENTARY,61,0,0,61
122457,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,MARINA,MARINA CHILDRENS CENTER, ,,,
6026314,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,MARINA,MARINA VISTA ELEMENTARY,90,0,0,78
6026199,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,MONTEREY,FOOTHILL ELEMENTARY,77,0,3,60
6026280,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,MONTEREY,LA MESA ELEMENTARY,82,0,0,82
124602,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,MONTEREY,MONTE VISTA,61,0,3,57
6026181,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,SEASIDE,DEL REY WOODS ELEMENTARY,68,0,0,64
129239,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,SEASIDE,DUAL LANGUAGE ACADEMY OF THE MONTEREY PENINSULA,92,0,4,82
6026207,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,SEASIDE,GEORGE C. MARSHALL ELEMENTARY,86,0,2,81
6026223,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,SEASIDE,HIGHLAND ELEMENTARY,75,0,0,70
6118962,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,SEASIDE,INTERNATIONAL SCHOOL OF MONTEREY,40,0,2,28
6058721,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,SEASIDE,MARTIN LUTHER KING,89,0,1,88
6026355,MONTEREY,PUBLIC,MONTEREY PENINSULA UNIFIED,SEASIDE,ORD TERRACE ELEMENTARY,72,0,0,71
6026397,MONTEREY,PUBLIC,NORTH MONTEREY COUNTY UNIFIED,CASTROVILLE,CASTROVILLE ELEMENTARY,113,0,0,113
6026413,MONTEREY,PUBLIC,NORTH MONTEREY COUNTY UNIFIED,CASTROVILLE,ELKHORN ELEMENTARY,95,0,1,94
6026405,MONTEREY,PUBLIC,NORTH MONTEREY COUNTY UNIFIED,SALINAS,ECHO VALLEY ELEMENTARY,89,0,3,86
6026447,MONTEREY,PUBLIC,NORTH MONTEREY COUNTY UNIFIED,SALINAS,PRUNEDALE ELEMENTARY,117,0,2,114
6026470,MONTEREY,PUBLIC,PACIFIC GROVE UNIFIED,PACIFIC GROVE,FOREST GROVE ELEMENTARY,105,0,7,95
6026496,MONTEREY,PUBLIC,PACIFIC GROVE UNIFIED,PACIFIC GROVE,ROBERT DOWN ELEMENTARY,76,0,8,64
108068,MONTEREY,PUBLIC,SALINAS CITY ELEMENTARY,SALINAS,BORONDA MEADOWS,91,1,0,86
6026520,MONTEREY,PUBLIC,SALINAS CITY ELEMENTARY,SALINAS,EL GABILAN ELEMENTARY,110,0,0,102
6026538,MONTEREY,PUBLIC,SALINAS CITY ELEMENTARY,SALINAS,HENRY F. KAMMANN ELEMENTARY,131,0,1,124
6109177,MONTEREY,PUBLIC,SALINAS CITY ELEMENTARY,SALINAS,LAUREL WOOD ELEMENTARY,71,0,2,66
6026546,MONTEREY,PUBLIC,SALINAS CITY ELEMENTARY,SALINAS,LINCOLN ELEMENTARY,131,0,2,119
6026553,MONTEREY,PUBLIC,SALINAS CITY ELEMENTARY,SALINAS,LOMA VISTA ELEMENTARY,113,0,0,109
